Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPropertyValue(a, ""ObjReturn[0].NumberOfTicketDone"", 0)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.044s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].NumberTicketInProcessing"", 0)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.022s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].NumberOfTicket"", 1)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.031s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].ITSupporterName"", ""Đỗ Hoàng Long"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ITSupporterPhone"", ""02322205"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.022s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].FeedBack"", ""3eq"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Rating"", 2)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.038s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Priority"", ""Trung bình"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.027s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].PriorityValue"", 2)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.026s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].TicketId"", 14)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.020s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].DeviceId"", 43)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].DeviceCode"", ""N301"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.021s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].Desciption"", ""test"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.020s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].DeviceName"", ""Router TENDA N301 300Mbps Wireless N"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.022s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].CreateDate"", ""12:46 17/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.022s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].Tickets[0].CreateBy"", ""ADMIN"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.017s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestId"", 2)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].AgencyId"", 31)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.025s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].AgencyName"", ""The Coffee House - Chi nhánh số 1"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.033s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].AgencyAddress"", ""88 Ngô Tất Tố, Quận Bình Thạnh"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.051s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestCategoryId"", 3)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.019s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].ServiceId"", 2)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.026s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].ServiceName"", ""CAMERA"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.017s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].ServiceItemId"", 3)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.013s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].ServiceItemName"", ""Camera không hiện màu"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.013s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestName"", ""The Coffee House - Chi nhánh số 1 - Camera không hiện màu"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestDesciption"", ""dsdsfdsfsfdfdsfdsfdsfdrgvrdfgdfgdfgdfgdffg"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.027s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].AgencyTelephone"", ""0397934468"")",,,2019-02-13 17:11:21,2019-02-13 17:11:22,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].CreateDate"", ""09:54 16/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.019s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].UpdateDate"", ""17:30 17/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].StartTime"", ""10:47 16/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.015s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].EndTime"", ""15:38 18/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.020s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestStatus"", ""Tạo mới"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.022s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestStatusValue"", 5)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.019s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].RequestEstimationTime"", ""09:54 16/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].NumberOfTicketDone"", 0)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.028s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].NumberTicketInProcessing"", 0)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.025s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].NumberOfTicket"", 1)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.052s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].ITSupporterName"", ""Phạm Phú Tiến"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.025s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].ITSupporterPhone"", ""0916512300"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.023s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].FeedBack"", ""So good"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.029s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Rating"", 4)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.018s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Priority"", ""Trung bình"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.021s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].PriorityValue"", 2)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.027s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].TicketId"", 2)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.027s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].DeviceId"", 45)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.028s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].DeviceCode"", ""KX-S2001CA4"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.021s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].Desciption"", null)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.023s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].DeviceName"", ""Camera KBVISION KX-S2001CA4"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.034s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].CreateDate"", ""09:54 16/01/2019"")",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.034s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[1].Tickets[0].CreateBy"", null)",,,2019-02-13 17:11:22,2019-02-13 17:11:22,0.026s,FAILED
